key,value
.actor.process.file.created_time_dt,string
.actor.process.file.creator.account.labels[],string
.actor.process.file.creator.account.name,string
.actor.process.file.creator.account.type,string
.actor.process.file.creator.account.type_id,integer
.actor.process.file.creator.account.uid,string
.actor.process.file.creator.credential_uid,string
.actor.process.file.creator.domain,string
.actor.process.file.creator.email_addr,string
.actor.process.file.creator.full_name,string
.actor.process.file.creator.groups[].desc,string
.actor.process.file.creator.groups[].domain,string
.actor.process.file.creator.groups[].name,string
.actor.process.file.creator.groups[].privileges[],string
.actor.process.file.creator.groups[].type,string
.actor.process.file.creator.groups[].uid,string
.actor.process.file.creator.ldap_person.cost_center,string
.actor.process.file.creator.ldap_person.created_time,integer
.actor.process.file.creator.ldap_person.created_time_dt,string
.actor.process.file.creator.ldap_person.deleted_time,integer
.actor.process.file.creator.ldap_person.deleted_time_dt,string
.actor.process.file.creator.ldap_person.email_addrs[],string
.actor.process.file.creator.ldap_person.employee_uid,string
.actor.process.file.creator.ldap_person.given_name,string
.actor.process.file.creator.ldap_person.hire_time,integer
.actor.process.file.creator.ldap_person.hire_time_dt,string
.actor.process.file.creator.ldap_person.job_title,string
.actor.process.file.creator.ldap_person.labels[],string
.actor.process.file.creator.ldap_person.last_login_time,integer
.actor.process.file.creator.ldap_person.last_login_time_dt,string
.actor.process.file.creator.ldap_person.ldap_cn,string
.actor.process.file.creator.ldap_person.ldap_dn,string
.actor.process.file.creator.ldap_person.leave_time,integer
.actor.process.file.creator.ldap_person.leave_time_dt,string
.actor.process.file.creator.ldap_person.location.city,string
.actor.process.file.creator.ldap_person.location.continent,string
.actor.process.file.creator.ldap_person.location.coordinates[],number
.actor.process.file.creator.ldap_person.location.country,string
.actor.process.file.creator.ldap_person.location.desc,string
.actor.process.file.creator.ldap_person.location.geohash,string
.actor.process.file.creator.ldap_person.location.is_on_premises,boolean
.actor.process.file.creator.ldap_person.location.isp,string
.actor.process.file.creator.ldap_person.location.lat,number
.actor.process.file.creator.ldap_person.location.long,number
.actor.process.file.creator.ldap_person.location.postal_code,string
.actor.process.file.creator.ldap_person.location.provider,string
.actor.process.file.creator.ldap_person.location.region,string
.actor.process.file.creator.ldap_person.manager,null
.actor.process.file.creator.ldap_person.modified_time,integer
.actor.process.file.creator.ldap_person.modified_time_dt,string
.actor.process.file.creator.ldap_person.office_location,string
.actor.process.file.creator.ldap_person.surname,string
.actor.process.file.creator.name,string
.actor.process.file.creator.org.name,string
.actor.process.file.creator.org.ou_name,string
.actor.process.file.creator.org.ou_uid,string
.actor.process.file.creator.org.uid,string
.actor.process.file.creator.risk_level,string
.actor.process.file.creator.risk_level_id,integer
.actor.process.file.creator.risk_score,integer
.actor.process.file.creator.type,string
.actor.process.file.creator.type_id,integer
.actor.process.file.creator.uid,string
.actor.process.file.creator.uid_alt,string
.actor.process.file.data_classification.category,string
.actor.process.file.data_classification.category_id,integer
.actor.process.file.data_classification.confidentiality,string
.actor.process.file.data_classification.confidentiality_id,integer
.actor.process.file.data_classification.policy.desc,string
.actor.process.file.data_classification.policy.group.desc,string
.actor.process.file.data_classification.policy.group.domain,string
.actor.process.file.data_classification.policy.group.name,string
.actor.process.file.data_classification.policy.group.privileges[],string
.actor.process.file.data_classification.policy.group.type,string
.actor.process.file.data_classification.policy.group.uid,string
.actor.process.file.data_classification.policy.is_applied,boolean
.actor.process.file.data_classification.policy.name,string
.actor.process.file.data_classification.policy.uid,string
.actor.process.file.data_classification.policy.version,string
.actor.process.file.desc,string
.actor.process.file.ext,string
.actor.process.file.hashes[].algorithm,string
.actor.process.file.hashes[].algorithm_id,integer
.actor.process.file.hashes[].value,string
.actor.process.file.is_system,boolean
.actor.process.file.mime_type,string
.actor.process.file.modified_time,integer
.actor.process.file.modified_time_dt,string
.actor.process.file.modifier.account.labels[],string
.actor.process.file.modifier.account.name,string
.actor.process.file.modifier.account.type,string
.actor.process.file.modifier.account.type_id,integer
.actor.process.file.modifier.account.uid,string
.actor.process.file.modifier.credential_uid,string
.actor.process.file.modifier.domain,string
.actor.process.file.modifier.email_addr,string
.actor.process.file.modifier.full_name,string
.actor.process.file.modifier.groups[].desc,string
.actor.process.file.modifier.groups[].domain,string
.actor.process.file.modifier.groups[].name,string
.actor.process.file.modifier.groups[].privileges[],string
.actor.process.file.modifier.groups[].type,string
.actor.process.file.modifier.groups[].uid,string
.actor.process.file.modifier.ldap_person.cost_center,string
.actor.process.file.modifier.ldap_person.created_time,integer
.actor.process.file.modifier.ldap_person.created_time_dt,string
.actor.process.file.modifier.ldap_person.deleted_time,integer
.actor.process.file.modifier.ldap_person.deleted_time_dt,string
.actor.process.file.modifier.ldap_person.email_addrs[],string
.actor.process.file.modifier.ldap_person.employee_uid,string
.actor.process.file.modifier.ldap_person.given_name,string
.actor.process.file.modifier.ldap_person.hire_time,integer
.actor.process.file.modifier.ldap_person.hire_time_dt,string
.actor.process.file.modifier.ldap_person.job_title,string
.actor.process.file.modifier.ldap_person.labels[],string
.actor.process.file.modifier.ldap_person.last_login_time,integer
.actor.process.file.modifier.ldap_person.last_login_time_dt,string
.actor.process.file.modifier.ldap_person.ldap_cn,string
.actor.process.file.modifier.ldap_person.ldap_dn,string
.actor.process.file.modifier.ldap_person.leave_time,integer
.actor.process.file.modifier.ldap_person.leave_time_dt,string
.actor.process.file.modifier.ldap_person.location.city,string
.actor.process.file.modifier.ldap_person.location.continent,string
.actor.process.file.modifier.ldap_person.location.coordinates[],number
.actor.process.file.modifier.ldap_person.location.country,string
.actor.process.file.modifier.ldap_person.location.desc,string
.actor.process.file.modifier.ldap_person.location.geohash,string
.actor.process.file.modifier.ldap_person.location.is_on_premises,boolean
.actor.process.file.modifier.ldap_person.location.isp,string
.actor.process.file.modifier.ldap_person.location.lat,number
.actor.process.file.modifier.ldap_person.location.long,number
.actor.process.file.modifier.ldap_person.location.postal_code,string
.actor.process.file.modifier.ldap_person.location.provider,string
.actor.process.file.modifier.ldap_person.location.region,string
.actor.process.file.modifier.ldap_person.manager,null
.actor.process.file.modifier.ldap_person.modified_time,integer
.actor.process.file.modifier.ldap_person.modified_time_dt,string
.actor.process.file.modifier.ldap_person.office_location,string
.actor.process.file.modifier.ldap_person.surname,string
.actor.process.file.modifier.name,string
.actor.process.file.modifier.org.name,string
.actor.process.file.modifier.org.ou_name,string
.actor.process.file.modifier.org.ou_uid,string
.actor.process.file.modifier.org.uid,string
.actor.process.file.modifier.risk_level,string
.actor.process.file.modifier.risk_level_id,integer
.actor.process.file.modifier.risk_score,integer
.actor.process.file.modifier.type,string
.actor.process.file.modifier.type_id,integer
.actor.process.file.modifier.uid,string
.actor.process.file.modifier.uid_alt,string
.actor.process.file.name,string
.actor.process.file.owner.account.labels[],string
.actor.process.file.owner.account.name,string
.actor.process.file.owner.account.type,string
.actor.process.file.owner.account.type_id,integer
.actor.process.file.owner.account.uid,string
.actor.process.file.owner.credential_uid,string
.actor.process.file.owner.domain,string
.actor.process.file.owner.email_addr,string
.actor.process.file.owner.full_name,string
.actor.process.file.owner.groups[].desc,string
.actor.process.file.owner.groups[].domain,string
.actor.process.file.owner.groups[].name,string
.actor.process.file.owner.groups[].privileges[],string
.actor.process.file.owner.groups[].type,string
.actor.process.file.owner.groups[].uid,string
.actor.process.file.owner.ldap_person.cost_center,string
.actor.process.file.owner.ldap_person.created_time,integer
.actor.process.file.owner.ldap_person.created_time_dt,string
.actor.process.file.owner.ldap_person.deleted_time,integer
.actor.process.file.owner.ldap_person.deleted_time_dt,string
.actor.process.file.owner.ldap_person.email_addrs[],string
.actor.process.file.owner.ldap_person.employee_uid,string
.actor.process.file.owner.ldap_person.given_name,string
.actor.process.file.owner.ldap_person.hire_time,integer
.actor.process.file.owner.ldap_person.hire_time_dt,string
.actor.process.file.owner.ldap_person.job_title,string
.actor.process.file.owner.ldap_person.labels[],string
.actor.process.file.owner.ldap_person.last_login_time,integer
.actor.process.file.owner.ldap_person.last_login_time_dt,string
.actor.process.file.owner.ldap_person.ldap_cn,string
.actor.process.file.owner.ldap_person.ldap_dn,string
.actor.process.file.owner.ldap_person.leave_time,integer
.actor.process.file.owner.ldap_person.leave_time_dt,string
.actor.process.file.owner.ldap_person.location.city,string
.actor.process.file.owner.ldap_person.location.continent,string
.actor.process.file.owner.ldap_person.location.coordinates[],number
.actor.process.file.owner.ldap_person.location.country,string
.actor.process.file.owner.ldap_person.location.desc,string
.actor.process.file.owner.ldap_person.location.geohash,string
.actor.process.file.owner.ldap_person.location.is_on_premises,boolean
.actor.process.file.owner.ldap_person.location.isp,string
.actor.process.file.owner.ldap_person.location.lat,number
.actor.process.file.owner.ldap_person.location.long,number
.actor.process.file.owner.ldap_person.location.postal_code,string
.actor.process.file.owner.ldap_person.location.provider,string
.actor.process.file.owner.ldap_person.location.region,string
.actor.process.file.owner.ldap_person.manager,null
.actor.process.file.owner.ldap_person.modified_time,integer
.actor.process.file.owner.ldap_person.modified_time_dt,string
.actor.process.file.owner.ldap_person.office_location,string
.actor.process.file.owner.ldap_person.surname,string
.actor.process.file.owner.name,string
.actor.process.file.owner.org.name,string
.actor.process.file.owner.org.ou_name,string
.actor.process.file.owner.org.ou_uid,string
.actor.process.file.owner.org.uid,string
.actor.process.file.owner.risk_level,string
.actor.process.file.owner.risk_level_id,integer
.actor.process.file.owner.risk_score,integer
.actor.process.file.owner.type,string
.actor.process.file.owner.type_id,integer
.actor.process.file.owner.uid,string
.actor.process.file.owner.uid_alt,string
.actor.process.file.parent_folder,string
.actor.process.file.path,string
.actor.process.file.product.cpe_name,string
.actor.process.file.product.data_classification.category,string
.actor.process.file.product.data_classification.category_id,integer
.actor.process.file.product.data_classification.confidentiality,string
.actor.process.file.product.data_classification.confidentiality_id,integer
.actor.process.file.product.data_classification.policy.desc,string
.actor.process.file.product.data_classification.policy.group.desc,string
.actor.process.file.product.data_classification.policy.group.domain,string
.actor.process.file.product.data_classification.policy.group.name,string
.actor.process.file.product.data_classification.policy.group.privileges[],string
.actor.process.file.product.data_classification.policy.group.type,string
.actor.process.file.product.data_classification.policy.group.uid,string
.actor.process.file.product.data_classification.policy.is_applied,boolean
.actor.process.file.product.data_classification.policy.name,string
.actor.process.file.product.data_classification.policy.uid,string
.actor.process.file.product.data_classification.policy.version,string
.actor.process.file.product.feature.name,string
.actor.process.file.product.feature.uid,string
.actor.process.file.product.feature.version,string
.actor.process.file.product.lang,string
.actor.process.file.product.name,string
.actor.process.file.product.path,string
.actor.process.file.product.uid,string
.actor.process.file.product.url_string,string
.actor.process.file.product.vendor_name,string
.actor.process.file.product.version,string
.actor.process.file.security_descriptor,string
.actor.process.file.signature.algorithm,string
.actor.process.file.signature.algorithm_id,integer
.actor.process.file.signature.certificate.created_time,integer
.actor.process.file.signature.certificate.created_time_dt,string
.actor.process.file.signature.certificate.expiration_time,integer
.actor.process.file.signature.certificate.expiration_time_dt,string
.actor.process.file.signature.certificate.fingerprints[].algorithm,string
.actor.process.file.signature.certificate.fingerprints[].algorithm_id,integer
.actor.process.file.signature.certificate.fingerprints[].value,string
.actor.process.file.signature.certificate.is_self_signed,boolean
.actor.process.file.signature.certificate.issuer,string
.actor.process.file.signature.certificate.serial_number,string
.actor.process.file.signature.certificate.subject,string
.actor.process.file.signature.certificate.uid,string
.actor.process.file.signature.certificate.version,string
.actor.process.file.signature.created_time,integer
.actor.process.file.signature.created_time_dt,string
.actor.process.file.signature.developer_uid,string
.actor.process.file.signature.digest.algorithm,string
.actor.process.file.signature.digest.algorithm_id,integer
.actor.process.file.signature.digest.value,string
.actor.process.file.signature.state,string
.actor.process.file.signature.state_id,integer
.actor.process.file.size,integer
.actor.process.file.type,string
.actor.process.file.type_id,integer
.actor.process.file.uid,string
.actor.process.file.version,string
.actor.process.file.xattributes,object
.actor.process.group.desc,string
.actor.process.group.domain,string
.actor.process.group.name,string
.actor.process.group.privileges[],string
.actor.process.group.type,string
.actor.process.group.uid,string
.actor.process.integrity,string
.actor.process.integrity_id,integer
.actor.process.lineage[],string
.actor.process.loaded_modules[],string
.actor.process.name,string
.actor.process.namespace_pid,integer
.actor.process.parent_process,null
.actor.process.pid,integer
.actor.process.sandbox,string
.actor.process.session.count,integer
.actor.process.session.created_time,integer
.actor.process.session.created_time_dt,string
.actor.process.session.credential_uid,string
.actor.process.session.expiration_reason,string
.actor.process.session.expiration_time,integer
.actor.process.session.expiration_time_dt,string
.actor.process.session.is_mfa,boolean
.actor.process.session.is_remote,boolean
.actor.process.session.is_vpn,boolean
.actor.process.session.issuer,string
.actor.process.session.terminal,string
.actor.process.session.uid,string
.actor.process.session.uid_alt,string
.actor.process.session.uuid,string
.actor.process.terminated_time,integer
.actor.process.terminated_time_dt,string
.actor.process.tid,integer
.actor.process.uid,string
.actor.process.user.account.labels[],string
.actor.process.user.account.name,string
.actor.process.user.account.type,string
.actor.process.user.account.type_id,integer
.actor.process.user.account.uid,string
.actor.process.user.credential_uid,string
.actor.process.user.domain,string
.actor.process.user.email_addr,string
.actor.process.user.full_name,string
.actor.process.user.groups[].desc,string
.actor.process.user.groups[].domain,string
.actor.process.user.groups[].name,string
.actor.process.user.groups[].privileges[],string
.actor.process.user.groups[].type,string
.actor.process.user.groups[].uid,string
.actor.process.user.ldap_person.cost_center,string
.actor.process.user.ldap_person.created_time,integer
.actor.process.user.ldap_person.created_time_dt,string
.actor.process.user.ldap_person.deleted_time,integer
.actor.process.user.ldap_person.deleted_time_dt,string
.actor.process.user.ldap_person.email_addrs[],string
.actor.process.user.ldap_person.employee_uid,string
.actor.process.user.ldap_person.given_name,string
.actor.process.user.ldap_person.hire_time,integer
.actor.process.user.ldap_person.hire_time_dt,string
.actor.process.user.ldap_person.job_title,string
.actor.process.user.ldap_person.labels[],string
.actor.process.user.ldap_person.last_login_time,integer
.actor.process.user.ldap_person.last_login_time_dt,string
.actor.process.user.ldap_person.ldap_cn,string
.actor.process.user.ldap_person.ldap_dn,string
.actor.process.user.ldap_person.leave_time,integer
.actor.process.user.ldap_person.leave_time_dt,string
.actor.process.user.ldap_person.location.city,string
.actor.process.user.ldap_person.location.continent,string
.actor.process.user.ldap_person.location.coordinates[],number
.actor.process.user.ldap_person.location.country,string
.actor.process.user.ldap_person.location.desc,string
.actor.process.user.ldap_person.location.geohash,string
.actor.process.user.ldap_person.location.is_on_premises,boolean
.actor.process.user.ldap_person.location.isp,string
.actor.process.user.ldap_person.location.lat,number
.actor.process.user.ldap_person.location.long,number
.actor.process.user.ldap_person.location.postal_code,string
.actor.process.user.ldap_person.location.provider,string
.actor.process.user.ldap_person.location.region,string
.actor.process.user.ldap_person.manager,null
.actor.process.user.ldap_person.modified_time,integer
.actor.process.user.ldap_person.modified_time_dt,string
.actor.process.user.ldap_person.office_location,string
.actor.process.user.ldap_person.surname,string
.actor.process.user.name,string
.actor.process.user.org.name,string
.actor.process.user.org.ou_name,string
.actor.process.user.org.ou_uid,string
.actor.process.user.org.uid,string
.actor.process.user.risk_level,string
.actor.process.user.risk_level_id,integer
.actor.process.user.risk_score,integer
.actor.process.user.type,string
.actor.process.user.type_id,integer
.actor.process.user.uid,string
.actor.process.user.uid_alt,string
.actor.process.xattributes,object
.actor.session.count,integer
.actor.session.created_time,integer
.actor.session.created_time_dt,string
.actor.session.credential_uid,string
.actor.session.expiration_reason,string
.actor.session.expiration_time,integer
.actor.session.expiration_time_dt,string
.actor.session.is_mfa,boolean
.actor.session.is_remote,boolean
.actor.session.is_vpn,boolean
.actor.session.issuer,string
.actor.session.terminal,string
.actor.session.uid,string
.actor.session.uid_alt,string
.actor.session.uuid,string
.actor.user.account.labels[],string
.actor.user.account.name,string
.actor.user.account.type,string
.actor.user.account.type_id,integer
.actor.user.account.uid,string
.actor.user.credential_uid,string
.actor.user.domain,string
.actor.user.email_addr,string
.actor.user.full_name,string
.actor.user.groups[].desc,string
.actor.user.groups[].domain,string
.actor.user.groups[].name,string
.actor.user.groups[].privileges[],string
.actor.user.groups[].type,string
.actor.user.groups[].uid,string
.actor.user.ldap_person.cost_center,string
.actor.user.ldap_person.created_time,integer
.actor.user.ldap_person.created_time_dt,string
.actor.user.ldap_person.deleted_time,integer
.actor.user.ldap_person.deleted_time_dt,string
.actor.user.ldap_person.email_addrs[],string
.actor.user.ldap_person.employee_uid,string
.actor.user.ldap_person.given_name,string
.actor.user.ldap_person.hire_time,integer
.actor.user.ldap_person.hire_time_dt,string
.actor.user.ldap_person.job_title,string
.actor.user.ldap_person.labels[],string
.actor.user.ldap_person.last_login_time,integer
.actor.user.ldap_person.last_login_time_dt,string
.actor.user.ldap_person.ldap_cn,string
.actor.user.ldap_person.ldap_dn,string
.actor.user.ldap_person.leave_time,integer
.actor.user.ldap_person.leave_time_dt,string
.actor.user.ldap_person.location.city,string
.actor.user.ldap_person.location.continent,string
.actor.user.ldap_person.location.coordinates[],number
.actor.user.ldap_person.location.country,string
.actor.user.ldap_person.location.desc,string
.actor.user.ldap_person.location.geohash,string
.actor.user.ldap_person.location.is_on_premises,boolean
.actor.user.ldap_person.location.isp,string
.actor.user.ldap_person.location.lat,number
.actor.user.ldap_person.location.long,number
.actor.user.ldap_person.location.postal_code,string
.actor.user.ldap_person.location.provider,string
.actor.user.ldap_person.location.region,string
.actor.user.ldap_person.manager,null
.actor.user.ldap_person.modified_time,integer
.actor.user.ldap_person.modified_time_dt,string
.actor.user.ldap_person.office_location,string
.actor.user.ldap_person.surname,string
.actor.user.name,string
.actor.user.org.name,string
.actor.user.org.ou_name,string
.actor.user.org.ou_uid,string
.actor.user.org.uid,string
.actor.user.risk_level,string
.actor.user.risk_level_id,integer
.actor.user.risk_score,integer
.actor.user.type,string
.actor.user.type_id,integer
.actor.user.uid,string
.actor.user.uid_alt,string
.actual_permissions,integer
.analytic.category,string
.analytic.desc,string
.analytic.name,string
.analytic.related_analytics[],null
.analytic.type,string
.analytic.type_id,integer
.analytic.uid,string
.analytic.version,string
.answers[].class,string
.answers[].flag_ids[],integer
.answers[].flags[],string
.answers[].packet_uid,integer
.answers[].rdata,string
.answers[].ttl,integer
.answers[].type,string
.api.group.desc,string
.api.group.domain,string
.api.group.name,string
.api.group.privileges[],string
.api.group.type,string
.api.group.uid,string
.api.operation,string
.api.request.containers[].hash.algorithm,string
.api.request.containers[].hash.algorithm_id,integer
.api.request.containers[].hash.value,string
.api.request.containers[].image.labels[],string
.api.request.containers[].image.name,string
.api.request.containers[].image.path,string
.api.request.containers[].image.tag,string
.api.request.containers[].image.uid,string
.api.request.containers[].name,string
.api.request.containers[].network_driver,string
.api.request.containers[].orchestrator,string
.api.request.containers[].pod_uuid,string
.api.request.containers[].runtime,string
.api.request.containers[].size,integer
.api.request.containers[].tag,string
.api.request.containers[].uid,string
.api.request.data,null
.api.request.flags[],string
.api.request.uid,string
.api.response.code,integer
.api.response.containers[].hash.algorithm,string
.api.response.containers[].hash.algorithm_id,integer
.api.response.containers[].hash.value,string
.api.response.containers[].image.labels[],string
.api.response.containers[].image.name,string
.api.response.containers[].image.path,string
.api.response.containers[].image.tag,string
.api.response.containers[].image.uid,string
.api.response.containers[].name,string
.api.response.containers[].network_driver,string
.api.response.containers[].orchestrator,string
.api.response.containers[].pod_uuid,string
.api.response.containers[].runtime,string
.api.response.containers[].size,integer
.api.response.containers[].tag,string
.api.response.containers[].uid,string
.api.response.data,null
.api.response.error,string
.api.response.error_message,string
.api.response.flags[],string
.api.response.message,string
.api.service.labels[],string
.api.service.name,string
.api.service.uid,string
.api.service.version,string
.api.version,string
.app.cpe_name,string
.app.data_classification.category,string
.app.data_classification.category_id,integer
.app.data_classification.confidentiality,string
.app.data_classification.confidentiality_id,integer
.app.data_classification.policy.desc,string
.app.data_classification.policy.group.desc,string
.app.data_classification.policy.group.domain,string
.app.data_classification.policy.group.name,string
.app.data_classification.policy.group.privileges[],string
.app.data_classification.policy.group.type,string
.app.data_classification.policy.group.uid,string
.app.data_classification.policy.is_applied,boolean
.app.data_classification.policy.name,string
.app.data_classification.policy.uid,string
.app.data_classification.policy.version,string
.app.feature.name,string
.app.feature.uid,string
.app.feature.version,string
.app.lang,string
.app.name,string
.app.path,string
.app.uid,string
.app.url_string,string
.app.vendor_name,string
.app.version,string
.app_name,string
.assignee.account.labels[],string
.assignee.account.name,string
.assignee.account.type,string
.assignee.account.type_id,integer
.assignee.account.uid,string
.assignee.credential_uid,string
.assignee.domain,string
.assignee.email_addr,string
.assignee.full_name,string
.assignee.groups[].desc,string
.assignee.groups[].domain,string
.assignee.groups[].name,string
.assignee.groups[].privileges[],string
.assignee.groups[].type,string
.assignee.groups[].uid,string
.assignee.ldap_person.cost_center,string
.assignee.ldap_person.created_time,integer
.assignee.ldap_person.created_time_dt,string
.assignee.ldap_person.deleted_time,integer
.assignee.ldap_person.deleted_time_dt,string
.assignee.ldap_person.email_addrs[],string
.assignee.ldap_person.employee_uid,string
.assignee.ldap_person.given_name,string
.assignee.ldap_person.hire_time,integer
.assignee.ldap_person.hire_time_dt,string
.assignee.ldap_person.job_title,string
.assignee.ldap_person.labels[],string
.assignee.ldap_person.last_login_time,integer
.assignee.ldap_person.last_login_time_dt,string
.assignee.ldap_person.ldap_cn,string
.assignee.ldap_person.ldap_dn,string
.assignee.ldap_person.leave_time,integer
.assignee.ldap_person.leave_time_dt,string
.assignee.ldap_person.location.city,string
.assignee.ldap_person.location.continent,string
.assignee.ldap_person.location.coordinates[],number
.assignee.ldap_person.location.country,string
.assignee.ldap_person.location.desc,string
.assignee.ldap_person.location.geohash,string
.assignee.ldap_person.location.is_on_premises,boolean
.assignee.ldap_person.location.isp,string
.assignee.ldap_person.location.lat,number
.assignee.ldap_person.location.long,number
.assignee.ldap_person.location.postal_code,string
.assignee.ldap_person.location.provider,string
.assignee.ldap_person.location.region,string
.assignee.ldap_person.manager,null
.assignee.ldap_person.modified_time,integer
.assignee.ldap_person.modified_time_dt,string
.assignee.ldap_person.office_location,string
.assignee.ldap_person.surname,string
.assignee.name,string
.assignee.org.name,string
.assignee.org.ou_name,string
.assignee.org.ou_uid,string
.assignee.org.uid,string
.assignee.risk_level,string
.assignee.risk_level_id,integer
.assignee.risk_score,integer
.assignee.type,string
.assignee.type_id,integer
.assignee.uid,string
.assignee.uid_alt,string
.assignee_group.desc,string
.assignee_group.domain,string
.assignee_group.name,string
.assignee_group.privileges[],string
.assignee_group.type,string
.assignee_group.uid,string
.attacks[].sub_technique.name,string
.attacks[].sub_technique.src_url,string
.attacks[].sub_technique.uid,string
.attacks[].tactic.name,string
.attacks[].tactic.src_url,string
.attacks[].tactic.uid,string
.attacks[].tactics[].name,string
.attacks[].tactics[].src_url,string
.attacks[].tactics[].uid,string
.attacks[].technique.name,string
.attacks[].technique.src_url,string
.attacks[].technique.uid,string
.attacks[].version,string
.attempt,integer
.auth_factors[].device.agent_list[].name,string
.auth_factors[].device.agent_list[].policies[].desc,string
.auth_factors[].device.agent_list[].policies[].group.desc,string
.auth_factors[].device.agent_list[].policies[].group.domain,string
.auth_factors[].device.agent_list[].policies[].group.name,string
.auth_factors[].device.agent_list[].policies[].group.privileges[],string
.auth_factors[].device.agent_list[].policies[].group.type,string
.auth_factors[].device.agent_list[].policies[].group.uid,string
.auth_factors[].device.agent_list[].policies[].is_applied,boolean
.auth_factors[].device.agent_list[].policies[].name,string
.auth_factors[].device.agent_list[].policies[].uid,string
.auth_factors[].device.agent_list[].policies[].version,string
